FilePath,#triples,Property,Aspect,Characteristic,Entity,Constraint,AbstractEntity,AbstractProperty,Collection,Trait,Set,Quantifiable,RangeConstraint,RegularExpressionConstraint,description,exampleValue,see,preferredName,unit,maxValue,minValue,upperBoundDefinition,lowerBoundDefinition,constraint,baseCharacteristic,value
io.catenax.fleet.vehicles/1.2.0/Vehicles.ttl,16,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
io.catenax.just_in_sequence_part/3.2.0/JustInSequencePart.ttl,13,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0
io.catenax.shared.part_site_information_as_built/1.0.0/PartSiteInformationAsBuilt.ttl,53,4,1,0,1,0,0,0,0,0,1,0,0,0,8,3,1,8,0,0,0,0,0,0,0,0
io.catenax.asset_tracker_links/2.1.0/AssetTrackerLinks.ttl,47,4,1,1,1,0,0,0,0,0,1,0,0,0,8,3,0,8,0,0,0,0,0,0,0,0
io.catenax.global_transport_label/1.2.0/GlobalTransportLabel.ttl,132,8,1,4,2,0,0,0,0,2,0,0,0,0,22,5,0,22,0,2,2,0,0,2,2,0
io.catenax.shopfloor_information.get_production_forecast/2.1.0/GetProductionForecast.ttl,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
io.catenax.vehicle.product_description/3.0.0/ProductDescription.ttl,712,48,1,11,8,0,0,0,0,3,0,0,0,2,83,40,10,81,3,1,1,0,0,3,3,0
io.catenax.asset_tracker_links/2.2.0/AssetTrackerLinks.ttl,34,3,1,0,1,0,0,0,0,0,1,0,0,0,6,2,0,6,0,0,0,0,0,0,0,0
io.catenax.planned_production_output/2.0.0/PlannedProductionOutput.ttl,120,11,1,3,3,0,0,0,0,0,2,1,0,0,21,7,1,21,0,0,0,0,0,0,0,0
io.catenax.material_demand/1.0.0/MaterialDemand.ttl,301,22,1,7,4,0,0,0,0,1,1,0,1,0,41,17,2,41,0,1,1,1,1,2,1,0
io.catenax.shared.business_partner_number/2.2.0/BusinessPartnerNumber.ttl,27,1,1,1,0,0,0,0,0,1,0,0,0,1,5,1,1,5,0,0,0,0,0,1,1,0
