FilePath,#triples,Property,Aspect,Characteristic,Entity,Constraint,AbstractEntity,AbstractProperty,Collection,Trait,Set,Quantifiable,RangeConstraint,RegularExpressionConstraint,description,exampleValue,see,preferredName,unit,maxValue,minValue,upperBoundDefinition,lowerBoundDefinition,constraint,baseCharacteristic,value,DIVERSITY
io.catenax.part_as_specified/3.0.0/PartAsSpecified.ttl,148,13,1,2,3,0,0,0,0,1,1,0,0,1,22,10,0,22,0,0,0,0,0,1,1,0,12
io.catenax.shared.uuid/2.0.0/Uuid.ttl,28,1,1,1,0,0,0,0,0,1,0,0,0,1,5,1,2,5,0,0,0,0,0,1,1,0,11
io.catenax.shared.message_header/1.0.0/MessageHeaderAspect.ttl,115,9,1,5,1,0,0,0,0,2,0,0,0,2,20,8,1,20,0,0,0,0,0,2,2,0,12
io.catenax.electric_drive.electric_drive_passport/2.0.0/ElectricDrivePassport.ttl,584,45,1,17,15,0,0,0,0,1,0,0,0,1,92,26,0,92,8,0,0,0,0,1,1,0,12
io.catenax.manufacturing_capability/2.0.0/ManufacturingCapability.ttl,153,14,1,0,6,0,1,0,0,0,6,0,0,0,28,3,4,28,0,0,0,0,0,0,0,0,9
io.catenax.decomissioning_certificate/2.0.0/DecommissioningCertificate.ttl,53,5,1,2,0,0,0,0,0,0,0,0,0,0,7,5,5,6,0,0,0,0,0,0,0,0,7
io.catenax.waste/2.0.0/Waste.ttl,350,31,1,18,6,0,0,0,0,1,0,0,0,0,55,23,4,58,2,1,1,0,0,1,1,0,14
io.catenax.generic.digital_product_passport/4.0.0/DigitalProductPassport.ttl,1485,110,1,23,34,0,0,0,0,5,0,2,2,2,206,59,21,206,1,2,2,2,2,5,5,0,19
io.catenax.item_stock/1.0.0/ItemStock.ttl,175,15,1,6,3,0,0,0,2,0,0,1,0,0,29,11,3,29,0,0,0,0,0,0,0,0,10
io.catenax.shared.shopfloor_information_types/2.0.0/ShopfloorInformationTypes.ttl,74,4,1,2,1,0,0,0,0,0,0,0,0,0,10,2,0,10,0,0,0,0,0,0,0,0,7
io.catenax.asset_tracker_links/2.0.0/AssetTrackerLinks.ttl,67,6,1,2,1,0,0,0,0,0,1,0,0,0,11,5,0,11,0,0,0,0,0,0,0,0,8
io.catenax.certificate_of_dismantler/1.0.1/CertificateOfDismantler.ttl,92,11,1,1,0,0,0,0,0,0,0,0,0,0,13,6,1,18,0,0,0,0,0,0,0,0,7
io.catenax.just_in_sequence_part/3.0.0/JustInSequencePart.ttl,179,12,1,8,3,0,0,0,0,3,1,0,0,3,31,9,1,31,0,0,0,0,0,3,3,0,13
io.catenax.essincident/4.0.0/EssIncident.ttl,456,38,1,2,1,0,0,0,0,4,1,0,0,3,55,34,1,55,0,0,0,0,0,4,4,0,13
io.catenax.shared.part_site_information_as_built/1.0.0/PartSiteInformationAsBuilt.ttl,53,4,1,0,1,0,0,0,0,0,1,0,0,0,8,3,1,8,0,0,0,0,0,0,0,0,8
io.catenax.id_based_comment/1.0.0/IdBasedComment.ttl,145,12,1,4,0,0,0,0,0,1,1,0,0,1,21,11,0,21,0,0,0,0,0,1,1,0,11
io.catenax.essincident/2.0.0/EssIncident.ttl,496,38,1,6,1,0,0,0,0,7,0,0,0,7,65,34,1,65,0,0,0,0,0,7,7,0,12
io.catenax.shared.business_partner_number/1.0.0/BusinessPartnerNumber.ttl,69,3,1,3,0,0,0,0,0,3,0,0,0,3,13,3,3,13,0,0,0,0,0,3,3,0,11
io.catenax.shared.business_partner_certificate/1.0.0/BusinessPartnerCertificate.ttl,180,17,1,2,3,0,0,0,0,0,0,0,0,0,24,15,0,24,0,0,0,0,0,0,0,0,7
io.catenax.classified_load_spectrum/2.0.0/ClassifiedLoadSpectrum.ttl,335,30,1,14,8,0,0,0,0,0,0,0,0,0,63,19,0,32,2,0,0,0,0,0,0,0,8
io.catenax.shared.uuid/1.0.0/Uuid.ttl,28,1,1,1,0,0,0,0,0,1,0,0,0,1,5,1,2,5,0,0,0,0,0,1,1,0,11
io.catenax.material_flow_scenario_request/2.0.0/MaterialFlowScenarioRequestAspect.ttl,217,21,1,6,4,0,0,0,1,0,0,0,0,0,34,14,0,34,0,0,0,0,0,0,0,0,8
io.catenax.manufacturing_capability/3.1.0/ManufacturingCapability.ttl,320,24,1,4,12,0,2,0,0,0,12,0,0,0,55,7,2,55,0,0,0,0,0,0,0,0,10
io.catenax.fleet.vehicles/3.0.0/Vehicles.ttl,603,48,1,3,5,0,0,0,0,2,0,0,0,1,72,42,7,72,2,1,1,0,0,2,2,0,15
io.catenax.remanufacturing_certificate/3.0.0/RemanufacturingCertificate.ttl,18,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4
io.catenax.market_place_offer/2.0.0/MarketplaceOffer.ttl,466,46,1,13,6,0,0,0,0,0,3,0,0,0,72,29,0,73,1,0,0,0,0,0,0,0,9
io.catenax.certificate_of_destruction/2.0.0/CertificateOfDestruction.ttl,351,39,1,8,6,0,0,0,0,3,0,1,0,2,59,14,2,60,1,1,0,0,0,3,3,0,15
io.catenax.generic.digital_product_passport/2.0.0/DigitalProductPassport.ttl,1521,104,1,26,34,0,0,0,0,5,0,4,0,4,215,62,26,215,0,1,0,0,0,5,5,0,14
io.catenax.failure_pattern/1.0.0/FailurePattern.ttl,317,23,1,6,6,0,0,0,0,1,0,0,0,1,45,15,1,45,0,0,0,0,0,1,1,0,12
io.catenax.shared.message_header/3.0.0/MessageHeaderAspect.ttl,98,9,1,3,1,0,0,0,0,1,0,0,0,1,16,8,1,16,0,0,0,0,0,1,1,0,12
io.catenax.refurbishing_certificate/2.0.0/RefurbishingCertificate.ttl,12,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4
io.catenax.shared.quantity/2.0.0/Quantity.ttl,429,17,1,8,8,0,0,0,0,0,0,1,0,0,43,9,16,43,0,0,0,0,0,0,0,0,9
io.catenax.demand_and_capacity_notification/2.0.0/DemandAndCapacityNotification.ttl,197,15,1,1,0,0,0,0,0,1,3,0,0,0,25,15,2,25,0,1,0,0,0,1,1,0,12
io.catenax.quality_task_attachment/2.0.0/QualityTaskAttachment.ttl,169,16,1,1,3,0,0,0,0,0,0,0,0,0,25,12,1,25,1,0,0,0,0,0,0,0,9
